,CKSAAGP_postivecharger.postivecharger.gap0,DDE_RR,CKSAAP_LV.gap1,CKSAAP_LF.gap1,CKSAAGP_alphaticr.alphaticr.gap5,PAAC_Xc1.I,CKSAAGP_uncharger.alphaticr.gap5,CKSAAGP_negativecharger.alphaticr.gap4,CTDD_normwaalsvolume.3.residue25,APAAC_Pc1.D,DDE_YP,Z5__18,CTDT_charge.Tr1331,CTDD_hydrophobicity_FASG890101.3.residue75,CTDD_hydrophobicity_CASG920101.3.residue75,GTPC_aromatic.uncharger.alphaticr,GAAC_postivecharge,Z5__41,PAAC_Xc1.S,MSW__7,Z5__39,QSO3_SC_F,CTDD_normwaalsvolume.1.residue25,DDE_MR,CTDD_hydrophobicity_PRAM900101.2.residue0,CTDC_solventaccess.G1,Cougar__1,DDE_KI,CTDD_hydrophobicity_PONP930101.3.residue75,CTDD_hydrophobicity_ENGD860101.1.residue0,ABHPRK__46,CKSAAP_RR.gap2,CKSAAGP_postivecharger.uncharger.gap5,CTDD_hydrophobicity_PRAM900101.2.residue25,APAAC_Pc2.Hydrophilicity.1,CKSAAGP_uncharger.alphaticr.gap1,QSO3_SC_D,ABHPRK__38,CKSAAGP_aromatic.alphaticr.gap5,CTDD_hydrophobicity_FASG890101.2.residue0,CKSAAGP_uncharger.postivecharger.gap0,APAAC_Pc1.M,ABHPRK__60,Ez__16,CKSAAGP_alphaticr.uncharger.gap5,Z3__18,NMBroto_BHAR880101.lag3,MSW__1,ABHPRK__20,CKSAAGP_negativecharger.alphaticr.gap5,MSW__18,Z5__10,ABHPRK__49,NMBroto_BHAR880101.lag2,Z5__42,Z3__16,CKSAAGP_alphaticr.alphaticr.gap3,DDR_H,AAC_F,CTDD_normwaalsvolume.3.residue0,OVPC_Polar,CKSAAGP_alphaticr.negativecharger.gap4,Argos,CKSAAGP_uncharger.postivecharger.gap5,Z3__10,CKSAAGP_postivecharger.alphaticr.gap2,AAC_S,CTDD_hydrophobicity_ARGP820101.3.residue100,CTDD_hydrophobicity_PONP930101.1.residue75,CTDD_hydrophobicity_ARGP820101.1.residue0,CTDD_polarizability.2.residue25,CTDD_hydrophobicity_PONP930101.2.residue100,GTPC_uncharger.uncharger.alphaticr,CTDD_secondarystruct.1.residue0,Z5__11,CTDD_hydrophobicity_CASG920101.3.residue0,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CKSAAGP_postivecharger.alphaticr.gap3,ABHPRK__44,CKSAAGP_uncharger.alphaticr.gap3,CTDD_hydrophobicity_CASG920101.3.residue50,Z5__32,OVP_Aromatic_N1,Ez__15,CKSAAGP_uncharger.alphaticr.gap4,OVP_Polar_N1,MSW__11,Ez__13,AAC_I,CTDD_hydrophobicity_CASG920101.2.residue25,Aliphatic_Index,APAAC_Pc2.Hydrophobicity.1,AAC_V,CTDT_normwaalsvolume.Tr1221,CTDD_secondarystruct.2.residue0,PAAC_Xc1.G,CTDD_hydrophobicity_ZIMJ680101.1.residue25,CTriad_g2.g2.g2,NMBroto_CHAM810101.lag1,Z5__44,Charge_density,CTDC_normwaalsvolume.G3,DDR_P,APAAC_Pc2.Hydrophilicity.2,CKSAAGP_aromatic.alphaticr.gap0,OVP_Aliphatic_C3,Z5__15,PAAC_Xc1.H,CTDD_secondarystruct.1.residue25,CTDD_hydrophobicity_PONP930101.3.residue0,y
1|0|testing,-0.48293,-0.28073,-0.2107,-0.1401,1.44519,-0.80692,-0.84248,-0.33124,1.88032,0.41896,-0.18883,-0.32111,-0.3521,0.91264,0.74501,-0.27825,-0.58446,-0.70974,-0.26287,0.45087,-0.0101,0.73625,-0.64221,-0.16227,-0.23906,0.66315,0.12207,-0.23617,0.90664,0.22251,-0.77831,-0.33274,-0.48526,-0.67116,-0.59816,-1.08482,1.15964,0.21039,-0.27399,-0.50256,-0.8427,-0.54898,-0.28687,1.3139,-0.8739,-0.15106,-0.9739,-0.27712,-0.43749,3.46578,0.90661,-0.22658,-0.72001,-0.28112,-0.88525,-0.55815,1.63165,-0.52134,0.96307,1.96591,-1.13751,-0.49795,0.26895,3.93105,-0.0737,-0.71517,0.66421,0.88487,-1.5238,-0.30506,-0.11683,0.254,-0.60103,2.41937,-0.69887,1.59599,2.08447,-0.74979,-0.45502,-0.70981,1.18734,-0.77256,-0.41424,2.11617,4.1241,-1.03078,-1.31706,1.63956,-0.81312,1.47437,0.71671,-1.10209,-0.82599,-1.41836,2.29354,-0.51987,-0.83778,-0.47471,1.00307,-0.01867,-0.32434,-0.56494,0.00494,-0.79374,1.62501,-0.38014,0.31419,-0.58108,2.10215,2.63687,0
2|0|testing,-0.48293,-0.31939,-0.2107,-0.1401,-0.79456,-0.80692,1.09159,1.19171,-0.83344,3.13145,-0.25547,-0.54678,0.50112,0.8336,-1.16169,-0.27825,-0.39296,0.68686,-0.86644,-0.59668,0.09785,0.04228,-0.04572,-0.22013,-0.04283,-0.67592,1.0114,-0.27188,0.83759,-0.76648,0.63072,-0.33274,-0.48526,-0.14012,0.27239,-0.51001,3.34578,-1.24012,-0.27399,-0.35382,-0.06189,-0.54898,-0.28687,0.53456,-0.8739,0.03024,0.04698,-1.48857,-0.43749,1.19659,0.32305,-0.95023,-0.01091,1.94436,-0.96829,-0.22048,-0.47777,-0.52134,0.00629,-0.56126,0.19567,-0.49795,-0.57127,-0.52895,0.26893,0.95008,-0.86334,0.29299,-0.4561,-0.69896,-1.11353,0.71753,-0.60103,-0.71059,-0.48971,-0.60115,0.76791,1.03362,0.60461,-0.2627,-0.93845,0.16331,-0.41424,0.87666,0.37862,0.97014,-1.24456,0.47309,-0.81312,0.20778,-0.56175,-0.12225,-0.82599,0.86465,-0.51842,0.53012,0.20176,-0.47471,-1.41679,-0.82287,-1.22002,-0.47236,0.30519,1.06486,-0.59941,-0.38014,0.41652,-0.58108,0.92878,-0.43291,0
3|0|testing,-0.48293,-0.27181,-0.2107,-0.1401,5.92468,-0.80692,-0.84248,-0.33124,0.07114,-0.68511,-0.17347,-1.64055,-0.3521,1.30786,-1.47947,6.56785,-1.25473,-0.56608,-0.86644,0.6686,-0.43638,-0.78956,-0.40361,-0.14894,-0.04283,0.7588,-0.78566,-0.22794,-1.23413,0.58214,-1.06011,-0.33274,-0.48526,-0.45875,-0.19147,1.09946,-0.69192,-1.24012,-0.27399,0.98478,-0.8427,-0.54898,-0.28687,-0.08771,-0.8739,-0.08716,-2.10831,0.23796,-0.43749,-0.31621,0.85922,-0.18655,1.40728,-1.24944,-0.87096,-1.43726,-0.84147,-0.52134,-0.71128,0.28113,-1.40415,-0.49795,-0.09646,-0.52895,0.42448,-0.71517,-0.86334,0.29299,-0.98995,1.66445,1.06108,0.71753,-0.60103,-0.12372,0.43236,-0.96734,2.32828,-0.74979,-0.45502,1.82379,-1.29275,-0.20178,-0.41424,0.1675,-0.86988,-1.03078,-0.30342,0.06835,-0.81312,-0.46277,0.40799,-0.03998,-0.82599,1.84309,0.4189,-0.45171,-0.57789,-0.47471,-0.25267,-1.31022,-0.0816,-1.02784,-0.38295,-0.28875,-0.59941,2.63059,1.63531,-0.58108,-0.67127,0.59035,0
4|0|testing,-0.48293,-0.34304,-0.2107,-0.1401,1.62437,2.15421,-0.45566,-0.33124,-0.36656,-0.68511,-0.29621,-0.00093,-0.3521,0.41289,1.1038,-0.27825,-0.67095,0.1946,-0.1787,-0.61488,-0.33355,2.13824,5.55366,-0.25551,2.26442,1.2031,-1.9156,2.16604,0.47002,-0.30534,-0.84194,-0.33274,-0.48526,2.03887,0.34172,-1.08482,-0.69192,1.4675,0.22729,-1.02313,-0.8427,1.14809,-0.28687,2.62409,-0.44645,0.26172,-0.12099,1.82055,-0.43749,-0.31621,-0.61823,0.3141,0.72106,0.08847,0.20468,-1.11519,1.21946,-0.52134,0.74702,-0.83979,-1.01709,0.15666,-0.16674,-0.52895,-1.35694,0.35535,-0.41985,0.88487,1.67068,-0.19388,-0.46465,-3.45423,-0.60103,-0.80524,-0.25854,-0.59524,-0.79247,0.3731,-0.45502,-0.70981,1.10733,0.26839,-0.41424,2.35686,-0.48572,-1.03078,1.89058,2.64659,1.17521,0.22941,3.01141,0.23118,-0.25284,-0.9835,-0.51086,-1.01179,-0.69107,2.41948,1.54326,-0.10968,-0.48468,0.20854,-0.79382,1.23127,1.77331,-0.38014,-0.34586,-0.58108,-0.54739,-0.77125,0
5|0|testing,-0.48293,-0.33867,-0.2107,-0.1401,-0.50242,-0.80692,0.83932,0.68406,-0.63069,0.32412,-0.28868,0.97362,-0.3521,0.98896,0.70666,0.98954,-1.04672,1.09776,0.5575,1.23129,0.17536,0.16995,-0.18147,-0.24897,-0.71271,0.84785,-1.01567,-0.28968,0.67328,0.33102,-0.50622,-0.33274,-0.48526,-0.72244,-0.01862,0.53317,0.47244,-0.82569,0.27088,-0.86157,-0.8427,-0.54898,1.0001,0.2424,0.9846,-0.23635,-1.2002,0.39056,-0.43749,0.1771,0.80866,-0.37318,-0.20653,-0.5957,0.67291,0.42128,-0.34684,-0.52134,-0.19166,-0.37245,0.27842,-0.49795,-0.84464,0.05279,-0.0764,-0.71517,0.0848,0.59913,0.47353,-0.78046,0.3862,-0.1456,1.00526,-0.36656,-0.308,-0.437,-0.31878,-0.74979,-0.45502,0.81035,-0.13822,-0.61186,-0.41424,0.59096,0.79478,-1.03078,-0.32045,0.52261,-0.81312,0.48525,0.01799,0.11431,0.39935,0.21236,-0.30833,0.72901,-0.90051,-0.47471,-0.04329,0.21419,-1.04432,-1.25769,1.18728,-0.23637,-0.59941,-0.38014,-0.19852,-0.58108,-0.9361,-0.20356,0
6|0|testing,-0.48293,-0.34087,-0.2107,-0.1401,0.32531,1.03178,-0.43955,0.64345,-0.81083,0.37571,-0.29248,-0.23395,0.82476,0.02736,0.96746,-0.27825,-0.24933,-0.79012,-0.22587,0.25889,0.07187,-0.14924,-0.47519,-0.25227,-0.71981,0.32839,-0.59745,-0.29172,-0.01182,-0.46978,-0.38378,-0.33274,0.03012,0.81576,-0.3612,-0.69477,0.0851,0.76059,-0.27399,-0.86696,-0.30421,1.43299,0.95414,-0.04371,1.35243,-0.11154,0.18245,0.106,-0.43749,0.62929,-0.56106,-0.1152,-0.72001,-0.60893,-0.2246,-0.63928,1.77433,-0.52134,-0.20898,-0.5402,-0.76422,-0.49795,0.35832,-0.52895,-0.65741,1.50516,-0.40507,0.74676,1.46576,-0.78759,0.13687,-0.67306,-0.60103,-0.59321,-0.00355,-0.19834,0.44507,0.41628,-0.45502,-0.70981,-0.54872,0.44036,-0.41424,-0.60866,-0.47036,-1.03078,-0.01199,-0.19183,0.55662,-0.35101,0.79044,-0.30932,0.35851,0.60599,-0.00289,0.03236,0.43565,-0.47471,-0.00325,0.63786,-0.17885,-0.50014,2.56499,-1.08934,-0.59941,-0.38014,-0.35985,-0.58108,-0.06325,-0.5864,0
7|0|testing,0.00154,0.5124,0.96283,-0.1401,0.44975,0.82317,-0.12616,0.10389,-0.56618,-0.68511,-0.30349,-1.00424,-0.3521,0.51024,0.6439,-0.27825,0.57327,-0.80796,-0.86644,-0.54403,-0.10504,0.23324,-0.11079,-0.26183,0.75991,1.15009,-0.1866,-0.29762,0.29141,-0.86456,-0.59898,0.8342,0.43097,0.41023,-0.25082,-0.02791,-0.69192,-0.15224,0.65431,0.25463,0.62132,-0.54898,-0.28687,0.52782,-0.47811,-0.63961,-0.54454,0.00942,0.05341,-0.31621,-1.15872,1.29267,0.18248,-0.59998,-0.1685,1.34165,0.43773,1.59989,0.202,-0.84844,0.05023,-0.49795,-1.30134,-0.03339,0.52947,0.78355,-0.86334,0.13157,-0.84435,0.6976,-0.34747,0.71753,-0.60103,-0.81729,0.45796,-0.61779,0.07305,0.81838,-0.45502,-0.18561,-0.0527,0.57939,-0.41424,0.23702,-0.15645,0.97014,-0.55293,0.34324,0.4321,0.85801,0.57341,-0.22776,0.25083,0.21236,-0.53972,0.83959,-0.50702,-0.47471,-1.35485,0.50918,0.40893,0.4366,-0.79382,-0.56622,0.5128,-0.38014,-1.11887,0.78293,-0.2058,-0.45617,0
8|0|testing,-0.48293,-0.28476,-0.2107,-0.1401,0.88525,-0.80692,-0.84248,-0.33124,1.0888,-0.68511,-0.19579,0.39603,-0.3521,0.52533,0.18889,-0.27825,-0.04825,1.80053,0.47133,0.60631,1.28082,0.7756,-0.72572,-0.16831,-0.30774,-0.87678,-0.23548,-0.2399,-0.30186,2.36232,0.20801,-0.33274,-0.48526,-0.74551,-0.37846,1.64553,-0.69192,-1.24012,-0.27399,-0.55461,2.62757,-0.54898,-0.28687,0.08358,-0.8739,-0.54476,0.18661,0.55881,-0.43749,-0.31621,0.23602,0.62735,0.76909,-0.92672,-0.2717,-0.55557,-0.84147,-0.00481,0.79563,1.22881,-0.20429,-0.49795,-0.50196,6.16105,-1.29696,1.42586,1.88625,0.88487,-1.71064,-0.37399,0.89798,0.30035,2.10958,1.46082,-1.67083,0.95516,0.37781,-0.74979,1.89971,0.55699,0.56732,1.38327,-0.41424,0.80993,-0.86988,0.97014,1.98769,0.89494,-0.81312,0.74422,0.26416,-0.59916,-0.82599,-0.69359,-0.49499,-1.01179,-0.92874,2.41948,-0.28262,-0.46956,0.16819,-0.1113,-0.31542,-0.43592,-0.59941,-0.38014,-1.71251,1.02548,1.05679,1.20431,0
9|0|testing,-0.07495,-0.3592,-0.2107,-0.1401,1.03796,2.72998,0.03664,0.0271,-0.79865,0.3299,-0.32407,-0.37645,0.54603,0.99777,-0.6239,-0.27825,-0.01731,-0.40159,-0.86644,0.2334,0.03567,-0.78956,1.22069,-0.2797,-0.76736,0.56015,-0.26051,4.06246,0.20013,-0.45526,-0.0196,-0.33274,-0.11044,0.98732,0.23862,0.09587,-0.02142,-0.32401,-0.27399,-0.903,-0.0208,-0.54898,-0.28687,0.0798,0.09759,-0.09006,0.47214,0.17757,-0.0241,0.02761,-0.46807,0.29552,-0.33819,-0.68781,-0.51915,-0.56062,1.1017,1.69745,-0.71128,-0.75566,-0.27607,0.50321,0.65077,-0.12349,0.29394,-0.29886,-0.86334,-0.38994,-0.08651,-0.83532,0.07833,0.71753,-0.01495,-0.53001,0.44921,-0.77016,-0.18679,0.54955,-0.45502,-0.05831,-0.72042,0.36228,-0.41424,-0.79761,1.18647,-1.03078,-0.01069,-0.63312,1.29417,0.79236,0.77342,-0.18375,0.54074,0.46985,-0.73472,0.99673,0.7715,-0.47471,-1.09151,0.17898,-0.06376,-0.51509,-0.79382,-0.71454,-0.13111,-0.38014,0.34489,0.8987,-0.08048,-0.66905,0
10|0|testing,-0.48293,-0.28073,-0.2107,-0.1401,-0.79456,-0.80692,2.38097,-0.33124,-1.28574,-0.68511,-0.18883,-0.72261,-0.3521,-0.19396,-1.47947,-0.27825,-1.25473,-0.41401,-0.86644,0.90214,-0.82248,-0.78956,-0.64221,-0.16227,-0.23906,-0.00638,0.68918,-0.23617,-0.06016,0.22251,-2.75094,-0.33274,-0.48526,-0.67116,-0.06116,3.59577,-0.69192,-1.24012,-0.27399,-0.50256,-0.8427,-0.54898,-0.28687,0.01481,2.68822,-0.69458,-0.27946,-0.83526,-0.43749,-0.31621,0.27094,0.17669,-0.72001,-0.69324,-0.3223,-0.40055,1.63165,-0.52134,-0.71128,-0.98246,-3.00396,-0.49795,2.37732,-0.52895,-0.61085,-0.71517,-0.86334,0.88487,0.34467,-0.30506,0.51743,-2.9907,5.59464,1.73469,-0.11017,-0.96734,-0.84123,-0.74979,4.84313,-0.70981,-1.29275,0.03187,-0.41424,1.84384,1.62711,-1.03078,1.9763,1.30398,-0.81312,0.95283,1.454,0.23205,-0.82599,1.84309,-0.98708,-0.38233,-0.83778,2.41948,0.40632,4.19875,-0.27145,-1.86106,-0.62142,-0.32114,-0.59941,2.63059,-3.14832,-0.58108,1.35546,1.44307,0
