,CKSAAGP_postivecharger.postivecharger.gap0,DDE_RR,CKSAAP_LV.gap1,CKSAAP_LF.gap1,CKSAAGP_alphaticr.alphaticr.gap5,PAAC_Xc1.I,CKSAAGP_uncharger.alphaticr.gap5,CKSAAGP_negativecharger.alphaticr.gap4,CTDD_normwaalsvolume.3.residue25,APAAC_Pc1.D,DDE_YP,Z5__18,CTDT_charge.Tr1331,CTDD_hydrophobicity_FASG890101.3.residue75,CTDD_hydrophobicity_CASG920101.3.residue75,GTPC_aromatic.uncharger.alphaticr,GAAC_postivecharge,Z5__41,PAAC_Xc1.S,MSW__7,Z5__39,QSO3_SC_F,CTDD_normwaalsvolume.1.residue25,DDE_MR,CTDD_hydrophobicity_PRAM900101.2.residue0,CTDC_solventaccess.G1,Cougar__1,DDE_KI,CTDD_hydrophobicity_PONP930101.3.residue75,CTDD_hydrophobicity_ENGD860101.1.residue0,ABHPRK__46,CKSAAP_RR.gap2,CKSAAGP_postivecharger.uncharger.gap5,CTDD_hydrophobicity_PRAM900101.2.residue25,APAAC_Pc2.Hydrophilicity.1,CKSAAGP_uncharger.alphaticr.gap1,QSO3_SC_D,ABHPRK__38,CKSAAGP_aromatic.alphaticr.gap5,CTDD_hydrophobicity_FASG890101.2.residue0,CKSAAGP_uncharger.postivecharger.gap0,APAAC_Pc1.M,ABHPRK__60,Ez__16,CKSAAGP_alphaticr.uncharger.gap5,Z3__18,NMBroto_BHAR880101.lag3,MSW__1,ABHPRK__20,CKSAAGP_negativecharger.alphaticr.gap5,MSW__18,Z5__10,ABHPRK__49,NMBroto_BHAR880101.lag2,Z5__42,Z3__16,CKSAAGP_alphaticr.alphaticr.gap3,DDR_H,AAC_F,CTDD_normwaalsvolume.3.residue0,OVPC_Polar,CKSAAGP_alphaticr.negativecharger.gap4,Argos,CKSAAGP_uncharger.postivecharger.gap5,Z3__10,CKSAAGP_postivecharger.alphaticr.gap2,AAC_S,CTDD_hydrophobicity_ARGP820101.3.residue100,CTDD_hydrophobicity_PONP930101.1.residue75,CTDD_hydrophobicity_ARGP820101.1.residue0,CTDD_polarizability.2.residue25,CTDD_hydrophobicity_PONP930101.2.residue100,GTPC_uncharger.uncharger.alphaticr,CTDD_secondarystruct.1.residue0,Z5__11,CTDD_hydrophobicity_CASG920101.3.residue0,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CKSAAGP_postivecharger.alphaticr.gap3,ABHPRK__44,CKSAAGP_uncharger.alphaticr.gap3,CTDD_hydrophobicity_CASG920101.3.residue50,Z5__32,OVP_Aromatic_N1,Ez__15,CKSAAGP_uncharger.alphaticr.gap4,OVP_Polar_N1,MSW__11,Ez__13,AAC_I,CTDD_hydrophobicity_CASG920101.2.residue25,Aliphatic_Index,APAAC_Pc2.Hydrophobicity.1,AAC_V,CTDT_normwaalsvolume.Tr1221,CTDD_secondarystruct.2.residue0,PAAC_Xc1.G,CTDD_hydrophobicity_ZIMJ680101.1.residue25,CTriad_g2.g2.g2,NMBroto_CHAM810101.lag1,Z5__44,Charge_density,CTDC_normwaalsvolume.G3,DDR_P,APAAC_Pc2.Hydrophilicity.2,CKSAAGP_aromatic.alphaticr.gap0,OVP_Aliphatic_C3,Z5__15,PAAC_Xc1.H,CTDD_secondarystruct.1.residue25,CTDD_hydrophobicity_PONP930101.3.residue0,y
1|0|training,-0.41181,-0.30907,-0.15629,-0.21683,-0.32752,1.5159,-0.65535,-0.36697,-0.27059,-0.59804,-0.27491,0.34291,6.02567,-1.69556,-0.88419,-0.27799,0.65769,0.03047,0.10928,-0.75167,1.19003,0.69636,-0.49619,-0.22367,-0.30077,-0.75058,0.4112,3.57286,-1.87165,-0.32225,1.03449,-0.26215,0.4919,-0.50929,1.17961,0.44572,-0.55359,0.29428,-0.31007,-0.51086,1.50432,-0.51802,0.61273,-0.51278,0.51257,1.55578,0.65543,-0.57091,-0.37016,0.36389,0.53251,0.16021,-0.32746,0.35972,-0.59741,0.00086,-0.77506,1.32713,0.25144,-0.92553,0.70557,1.60192,-1.16364,0.69093,-0.7306,1.00421,-0.17355,-1.07471,1.07334,0.28215,-0.65063,0.59905,-0.5309,0.4944,-0.49303,-1.07106,-0.70679,-0.48093,0.48671,-0.2824,-0.81222,0.58265,1.82939,-0.85042,-0.29787,-1.14904,0.17913,-0.62433,0.91859,-0.8379,0.00191,0.32445,-0.04383,-0.13067,-0.97675,-0.21586,0.88888,1.17221,-0.36083,0.06975,-0.16742,0.20489,2.0132,1.37175,-0.13514,-0.43064,0.26695,0.8952,1.01208,-0.94165,0
2|0|training,-0.41181,-0.25408,-0.15629,-0.21683,-0.67994,-0.62401,-0.65535,-0.36697,-0.85142,0.54508,-0.23485,-0.54461,-0.33747,0.4482,-1.68758,-0.27799,-0.43722,-0.32011,-0.77503,-0.08677,0.8025,-0.9673,0.57781,-0.18357,0.66311,-1.43097,-0.39077,-0.18647,0.00214,-0.5445,1.95635,-0.26215,-0.47633,0.50234,0.01883,0.19784,0.89912,-1.24497,-0.31007,0.14492,-0.68514,-0.51802,-0.34371,-0.15766,-0.54147,-0.12623,-0.13625,-0.86157,-0.37016,-0.30225,0.04015,-0.88434,0.35639,-0.41842,-0.79144,-0.49882,-0.77506,-0.44141,-0.89745,-0.68907,1.60857,-0.28966,1.25445,-0.4768,-1.19,-0.59323,-0.76194,0.75246,-0.23051,-0.0612,-0.3154,-0.28306,-0.5309,-0.58935,-1.36854,-1.22567,0.04461,-0.48093,-0.45241,2.15588,-1.46137,0.59177,-0.54663,0.42795,0.82911,0.87029,-0.87483,-0.39472,-0.61523,1.55315,-0.35427,0.16241,-0.69356,0.75455,0.22852,-0.89619,-0.20598,-0.40363,-0.34066,0.81589,-0.98434,-0.77721,-0.75691,-1.53457,-0.68687,-0.43064,-0.27524,-0.4677,-0.87525,1.80528,0
3|0|training,-0.41181,-0.28883,-0.15629,-0.21683,2.90838,2.85351,0.03132,-0.36697,-0.23398,-0.59804,-0.26016,0.91693,-0.33747,0.48122,0.18384,-0.27799,-0.69823,-0.40728,0.18301,1.1799,-0.31867,-0.9673,-0.23295,-0.20891,-0.06452,1.14281,-1.17572,-0.21457,0.53443,1.00141,-1.55637,-0.26215,-0.47633,-0.26134,-0.26418,0.9415,-0.55359,0.77529,-0.31007,-0.35013,-0.68514,2.90603,-0.34371,2.31837,0.99169,0.01877,0.59691,1.13359,-0.37016,-0.30225,0.18774,0.44129,-0.89733,-0.64949,0.65244,-0.89471,2.43703,-0.44141,-0.89745,-0.10255,-1.83229,-0.28966,0.1569,0.37246,-0.69851,-0.59323,-0.00049,0.75246,1.03499,-0.17228,-0.74922,-0.46652,-0.5309,-0.79389,0.12299,-0.22525,0.26377,-0.48093,0.78018,0.58038,-0.41127,0.26154,-0.54663,1.24341,0.56302,-1.14904,0.58037,1.86346,2.36218,-0.71232,2.526,0.04793,0.14726,1.40003,0.20067,-0.15913,-0.36342,-0.40363,-0.92283,0.48507,-0.19783,-0.91842,0.6774,0.09571,-0.68687,-0.43064,-1.06502,-0.4677,-0.78131,-0.87542,0
4|0|training,-0.06188,-0.32007,-0.15629,-0.21683,0.21039,0.3783,0.53728,0.84045,-0.76014,1.80312,-0.28292,-0.1549,1.05447,0.56049,-1.26339,-0.27799,-0.05688,-0.2588,1.71017,0.99021,-0.74012,-0.9673,-0.07852,-0.23168,-0.86838,0.87188,-0.83477,-0.23984,0.40431,-0.17779,-0.29709,-0.26215,-0.47633,0.62598,-0.02507,0.25172,1.00992,0.55082,0.08265,-0.89704,-0.68514,-0.51802,-0.34371,0.32498,0.78996,-0.26047,-0.01916,0.84474,0.00961,0.25871,-0.38502,-0.2466,-0.89733,-1.19466,-0.64027,-0.39854,1.7815,-0.44141,-0.89745,-0.60237,-0.37804,0.51426,0.68254,-0.4768,-0.56843,0.78638,0.79142,0.75246,0.4388,-0.81657,-0.10469,0.2021,0.29399,-0.6887,-0.25489,-0.8175,-0.17455,-0.48093,-0.45241,-0.35206,-1.03293,-0.26236,-0.54663,-0.46145,0.03083,-1.14904,-0.51297,-0.1905,0.05965,0.23807,1.20882,-0.1624,0.44996,0.23817,-0.62377,-0.25887,-0.47362,-0.40363,-0.37794,0.81018,-0.43676,-0.77721,-0.75691,-1.21458,-0.68687,-0.43064,-0.08265,-0.4677,0.08293,-0.77053,0
5|0|training,-0.41181,-0.29311,-0.15629,-0.21683,1.66956,2.50468,0.60354,-0.36697,-0.29364,-0.59804,-0.26328,0.32031,-0.33747,0.88489,-0.11651,-0.27799,-0.71895,-0.79365,0.94885,1.4105,-0.49411,-0.9673,-0.66193,-0.21202,-0.44951,-0.02367,0.25293,-0.21803,0.05799,-0.81613,-0.35969,-0.26215,-0.47633,-0.66541,-0.10279,2.67672,-0.55359,0.02265,-0.31007,-0.8347,0.21641,3.23973,-0.34371,1.49958,0.16123,-0.10821,-0.12293,0.20955,-0.37016,-0.30225,0.30202,-0.29731,-0.89733,-0.54033,-0.30011,-0.87452,1.35541,-0.44141,-0.89745,-0.15922,-0.66009,-0.28966,0.95218,0.30169,0.03061,-0.59323,0.67636,-0.73635,0.56629,-0.74313,0.09432,0.75657,1.84065,0.01775,-0.40053,-0.28083,-0.16165,-0.48093,0.70768,1.1109,-0.46961,0.41689,-0.54663,1.10961,-0.15338,0.87029,0.25305,1.05432,2.19677,-0.22116,0.86283,-0.10504,0.10055,1.60506,0.1233,0.43006,-0.80073,-0.40363,-1.25893,0.3502,-0.61241,-0.97726,0.69911,-0.67155,-0.68687,-0.43064,-0.10324,-0.4677,-0.22463,-0.06603,0
6|0|training,-0.41181,-0.22753,-0.15629,-0.21683,-0.67994,-0.62401,-0.65535,-0.36697,3.25587,-0.59804,-0.21551,0.21551,-0.33747,1.19681,-1.68758,-0.27799,-0.01462,-2.36484,-0.77503,-0.72707,-1.06892,-0.9673,0.79659,-0.16421,0.85945,-1.62287,-0.92775,-0.165,1.17515,-0.13705,1.20521,-0.26215,-0.47633,0.70841,-0.0768,1.43728,-0.55359,0.90998,-0.31007,-0.38942,-0.68514,-0.51802,-0.34371,-0.23659,-0.54147,0.271,-0.88038,-0.9661,-0.37016,-0.30225,1.61638,0.52886,1.19221,-0.1434,0.11884,-0.74629,-0.77506,0.18041,-0.89745,3.21254,0.87279,-0.28966,0.34583,-0.4768,-1.25363,-0.59323,-0.76194,0.00806,-0.23051,-0.21857,-0.491,0.75657,4.21221,3.05325,-1.9009,-1.22567,1.44723,-0.48093,-0.45241,3.61884,-1.46137,-1.34207,-0.54663,0.44159,-0.76744,0.87029,0.83762,0.02071,-0.61523,2.64905,-0.02606,-0.6407,-0.69356,1.16766,1.17552,-0.89619,-0.42901,-0.40363,0.33874,1.41838,0.13212,-0.97726,-0.28437,-0.00202,-0.68687,2.3221,-0.7187,1.10039,3.02845,2.96109,0
7|0|training,-0.41181,-0.29726,-0.15629,-0.21683,1.48883,2.38234,-0.65535,0.49547,-0.10682,0.56632,-0.26631,1.26182,-0.33747,0.35954,0.73104,-0.27799,-0.07023,0.34743,-0.77503,0.38639,0.16676,-0.15634,-1.04576,-0.21505,-0.79398,1.6597,0.01017,3.88719,0.42548,0.13101,-1.06801,-0.26215,-0.47633,-1.02694,-0.72346,-0.45834,0.37614,-0.04778,0.26391,-0.84642,-0.68514,-0.51802,-0.34371,1.43692,0.10717,0.33313,0.09585,0.595,-0.37016,0.51761,0.01608,0.51688,-0.89733,-0.86501,-0.59534,-0.38687,0.81569,-0.44141,-0.23231,0.01824,-1.35392,-0.28966,1.3931,-0.4768,1.20985,1.30373,-0.76194,0.75246,0.39854,-0.75693,-0.53721,0.57418,-0.5309,0.48251,0.16386,-0.86763,0.04461,1.96881,-0.45241,-0.18487,-0.52181,0.9704,-0.54663,0.1919,-0.76744,-1.14904,-1.26175,0.71296,2.04877,-0.52329,1.79312,-0.20835,1.56339,0.75455,-0.69355,1.65259,-1.192,-0.40363,-2.22035,-0.18532,0.10787,-0.71403,-0.75691,-0.64548,-0.04318,-0.43064,0.1686,-0.4677,0.27345,-0.64539,0
8|0|training,-0.41181,-0.25972,-0.15629,-0.21683,-0.67994,-0.62401,0.85532,-0.36697,0.35173,1.70626,-0.23896,-0.26516,-0.33747,1.11174,1.20461,-0.27799,-1.07111,0.88514,-0.77503,-1.22573,-1.32667,1.39998,0.39881,-0.18768,1.03795,0.03448,0.2737,-0.19103,1.09898,-0.60006,0.52234,-0.26215,-0.47633,0.89575,-1.14157,-1.04161,2.16041,-0.1675,-0.31007,0.76426,-0.68514,-0.51802,-0.34371,0.80406,-0.54147,-0.26264,0.46429,-0.5339,-0.37016,-0.30225,1.11811,-2.1063,0.24242,0.68661,1.45833,-0.85537,-0.77506,-0.44141,1.40032,0.45383,0.70557,2.39007,-0.69188,-0.4768,1.03142,-0.59323,-0.76194,0.75246,-1.31706,-0.57622,-0.89007,-0.50359,-0.5309,-0.63451,0.50134,1.24811,0.92125,-0.48093,-0.45241,0.48392,1.13522,0.69706,-0.54663,1.01322,0.56302,0.87029,-2.61595,0.74882,-0.61523,0.44302,-1.35941,-0.00333,-0.69356,-0.69131,0.52984,0.30609,-0.32764,-0.40363,0.65293,0.28601,-1.50299,0.20489,-0.75691,-0.31076,0.47177,-0.43064,-0.58887,-0.4677,-0.92364,0.63446,0
9|0|training,-0.41181,-0.21932,-0.15629,-0.21683,-0.67994,-0.62401,-0.65535,-0.36697,-0.39505,-0.59804,-0.20953,0.07192,-0.33747,1.00966,-0.9806,-0.27799,-1.07111,-0.92649,-0.77503,-0.78161,1.2726,1.19302,1.23415,-0.15823,1.25214,-0.27954,-1.27603,-0.15836,1.00758,1.28902,-2.55054,-0.26215,-0.47633,1.12056,0.38378,2.26358,-0.55359,-1.24497,-0.31007,0.54567,-0.68514,1.15894,6.03255,-0.1357,-0.54147,0.21425,0.29794,0.78162,-0.37016,-0.30225,0.42016,-2.43873,-0.89733,-4.07074,-0.42873,-0.51181,-0.77506,-0.44141,1.63009,-0.25556,-1.70245,-0.28966,2.81458,-0.4768,-0.81554,-0.59323,-0.76194,-0.14082,-0.7086,-1.00541,0.73816,-2.70887,-0.5309,3.88112,-2.83085,-0.54538,-0.3937,-0.48093,4.47797,-0.77005,-0.7473,2.54675,1.82939,2.0943,-0.76744,-1.14904,3.30741,1.11188,-0.61523,3.43183,-1.35941,0.24357,-0.69356,-1.31096,-0.24498,-0.89619,3.80853,2.74804,0.66093,0.62071,0.05821,1.62347,-0.54819,-0.35474,2.20975,-0.43064,-1.42175,-0.4677,3.91566,-0.17611,0
10|0|training,-0.41181,-0.25408,-0.15629,-0.21683,0.72976,0.37614,-0.65535,-0.36697,0.51768,-0.59804,-0.23485,-1.4311,-0.33747,-0.11326,0.78685,2.83361,-1.07111,0.13162,-0.77503,1.22684,-2.21638,-0.9673,-0.73486,-0.18357,-0.51496,2.02331,-0.93382,-0.18647,0.00214,-1.15567,-1.42381,-0.26215,-0.47633,-0.7341,0.61324,-1.04161,-0.55359,-0.04778,1.55538,-0.25583,-0.68514,-0.51802,-0.34371,0.82829,1.56662,-0.38627,1.00488,2.05676,-0.37016,-0.30225,1.35557,-1.25438,-0.89733,-0.62561,0.59598,-1.14182,1.21337,-0.44141,-0.89745,0.61147,-0.59877,-0.28966,-0.99805,-0.4768,2.33427,-0.59323,-0.76194,0.75246,-0.23051,-0.0612,0.21138,0.06348,-0.5309,-0.58935,-1.00656,0.13491,-1.12423,-0.48093,-0.45241,-0.77005,-0.03324,-1.15631,-0.54663,0.19777,0.82911,-1.14904,0.94446,-0.00796,1.07197,-0.79521,0.83548,0.44209,2.16524,0.75455,0.22852,0.37571,-0.87507,-0.40363,0.02886,0.20086,-0.3362,-0.77721,-0.75691,0.34215,0.60051,-0.43064,0.08663,-0.4677,-0.87525,0.31924,0
