,feature name,rank
1380,DPC_SH,1
2507,CKSAAP_RQ.gap1,1
1452,GAAC_aromatic,1
3277,DDR_M,1
2912,CKSAAP_YN.gap2,1
1367,DPC_RP,1
3583,formula_O,1
18,AAC_Y,1
32,CKSAAGP_postivecharger.postivecharger.gap0,1
2557,CKSAAP_VI.gap1,1
3231,CKSAAP_YG.gap3,1
3345,Shannon-Entropy,1
2506,CKSAAP_RP.gap1,1
193,CTDC_normwaalsvolume.G3,2
1009,DDE_RV,2
714,DDE_AD,2
3268,DDR_D,2
964,DDE_PP,2
1110,DDE_YW,2
3582,formula_N,2
100,CKSAAGP_aromatic.alphaticr.gap3,3
157,CKSAAGP_postivecharger.postivecharger.gap5,5
3563,Z5__29,5
3273,DDR_H,5
3505,MSW__10,5
239,CTDD_hydrophobicity_ZIMJ680101.1.residue0,8
219,CTDD_hydrophobicity_PRAM900101.3.residue0,9
1887,APAAC_Pc2.Hydrophobicity.1,10
3517,Z3__1,11
746,DDE_CR,12
204,CTDC_secondarystruct.G2,12
3558,Z5__24,14
1004,DDE_RP,14
3257,PAAC_Xc1.S,16
718,DDE_AH,17
140,CKSAAGP_uncharger.alphaticr.gap4,18
3554,Z5__20,19
836,DDE_HF,21
428,CTDT_polarity.Tr1221,21
3522,Z3__6,21
152,CKSAAGP_aromatic.postivecharger.gap5,23
154,CKSAAGP_aromatic.uncharger.gap5,24
3568,Z5__34,25
1280,DPC_LN,26
1043,DDE_TN,27
181,CTDC_hydrophobicity_PONP930101.G3,28
1877,APAAC_Pc1.L,28
2371,CKSAAP_HV.gap1,30
1540,GTPC_postivecharger.postivecharger.uncharger,31
131,CKSAAGP_postivecharger.aromatic.gap4,32
2836,CKSAAP_RK.gap2,33
1427,DPC_VS,33
2280,CKSAAP_CG.gap1,35
3444,ABHPRK__55,36
3562,Z5__28,37
1011,DDE_RY,37
269,CTDD_hydrophobicity_CASG920101.1.residue0,39
195,CTDC_polarity.G2,40
851,DDE_HY,41
412,CTDT_hydrophobicity_ZIMJ680101.Tr2332,42
3027,CKSAAP_HL.gap3,43
3050,CKSAAP_KA.gap3,44
2694,CKSAAP_HG.gap2,45
69,CKSAAGP_uncharger.uncharger.gap1,46
1050,DDE_TW,47
2349,CKSAAP_GL.gap1,48
1324,DPC_PG,48
272,CTDD_hydrophobicity_CASG920101.1.residue75,50
2685,CKSAAP_GN.gap2,51
3281,DDR_T,52
289,CTDD_hydrophobicity_ENGD860101.2.residue0,53
955,DDE_PE,54
167,CKSAAGP_uncharger.postivecharger.gap5,54
2489,CKSAAP_QR.gap1,56
3577,Z5__43,57
67,CKSAAGP_uncharger.postivecharger.gap1,58
314,CTDD_normwaalsvolume.1.residue0,59
2693,CKSAAP_HA.gap2,60
3409,ABHPRK__12,61
3552,Z5__18,62
3600,OVP_Aromatic_N1,63
975,DDE_QE,64
408,CTDT_hydrophobicity_ARGP820101.Tr1331,65
285,CTDD_hydrophobicity_ENGD860101.1.residue25,66
95,CKSAAGP_alphaticr.alphaticr.gap3,67
3603,OVP_Polar_N1,67
3283,DDR_Y,69
299,CTDD_hydrophobicity_FASG890101.1.residue0,70
3508,MSW__13,71
279,CTDD_hydrophobicity_CASG920101.3.residue0,72
3516,TM_tend,72
2581,CKSAAP_YQ.gap1,74
192,CTDC_normwaalsvolume.G2,75
3578,Z5__44,76
2853,CKSAAP_SH.gap2,76
808,DDE_FT,78
264,CTDD_hydrophobicity_PONP930101.3.residue0,79
3083,CKSAAP_LR.gap3,80
54,CKSAAGP_aromatic.uncharger.gap1,81
3473,Cougar__18,82
1911,NMBroto_CHAM810101.lag1,83
1067,DDE_VS,84
2842,CKSAAP_RR.gap2,85
