,rbfsvm,lightgbm,xgboost,dt,et
1|0|testing,0,0,0,0,0
2|0|testing,0,0,0,1,0
3|0|testing,0,0,0,0,0
4|0|testing,1,1,1,0,0
5|0|testing,0,0,0,0,0
6|0|testing,0,0,0,0,0
7|0|testing,0,0,0,0,0
8|0|testing,0,0,0,0,0
9|0|testing,0,0,0,0,0
10|0|testing,1,0,0,0,0
11|0|testing,0,0,0,0,0
12|0|testing,0,0,0,1,0
13|0|testing,0,0,0,0,0
14|0|testing,0,0,0,0,0
15|0|testing,1,1,1,1,1
16|0|testing,0,0,0,0,0
17|0|testing,0,1,1,1,0
18|0|testing,0,0,0,0,0
19|0|testing,0,0,0,0,0
20|0|testing,0,0,0,0,0
21|0|testing,0,0,0,0,0
22|0|testing,0,0,0,0,0
23|0|testing,0,0,0,0,0
24|0|testing,0,0,0,1,0
25|0|testing,0,0,0,0,0
26|0|testing,1,1,1,1,1
27|0|testing,1,0,1,0,1
28|0|testing,0,0,0,1,0
29|0|testing,0,0,0,0,0
30|0|testing,0,0,0,0,0
31|0|testing,0,0,0,0,0
32|0|testing,0,0,0,0,0
33|0|testing,0,0,0,1,0
34|0|testing,0,0,0,0,0
35|0|testing,1,1,1,1,1
36|0|testing,0,0,1,0,0
37|0|testing,1,1,1,1,1
38|0|testing,0,0,1,1,0
39|0|testing,0,0,0,0,0
40|0|testing,1,1,1,1,1
41|0|testing,0,0,0,0,0
42|0|testing,0,0,0,0,0
43|0|testing,0,0,0,1,0
44|0|testing,0,0,0,1,0
45|0|testing,0,1,1,1,0
46|0|testing,1,1,1,1,1
47|0|testing,0,0,0,0,0
48|0|testing,0,0,1,0,0
49|0|testing,0,0,0,0,0
50|0|testing,1,1,1,1,1
51|0|testing,1,1,1,1,1
52|0|testing,1,1,1,0,0
53|0|testing,0,0,0,1,0
54|0|testing,0,0,0,0,0
55|0|testing,1,1,1,1,1
56|0|testing,0,0,0,0,0
57|0|testing,0,0,0,0,0
58|0|testing,0,0,0,0,0
59|0|testing,0,0,0,0,0
60|0|testing,0,0,0,1,0
61|0|testing,0,0,1,1,0
62|0|testing,0,0,0,0,0
63|0|testing,0,0,0,0,0
64|0|testing,0,0,0,0,0
65|0|testing,0,0,0,0,0
66|0|testing,0,0,1,1,1
67|0|testing,0,0,0,0,0
68|0|testing,0,0,0,1,0
69|0|testing,0,0,0,0,0
70|0|testing,0,0,0,0,0
71|0|testing,1,1,1,1,1
72|0|testing,0,0,0,0,0
73|0|testing,0,0,0,0,0
74|0|testing,0,0,0,0,0
75|0|testing,0,0,0,0,0
76|0|testing,0,1,0,1,1
77|0|testing,0,0,0,0,0
78|0|testing,0,0,0,0,0
79|0|testing,0,0,0,0,0
80|0|testing,0,0,0,0,0
81|0|testing,0,0,0,0,0
