,rbfsvm,lightgbm,xgboost,dt,et
1|0|testing,0.03344088623511152,0.0005568532333137132,0.00023689441150054336,0.0,0.08
2|0|testing,0.060684534813564166,0.017413010094687386,0.20907050371170044,1.0,0.32
3|0|testing,0.46748285255075334,0.18061241608796946,0.029255641624331474,0.0,0.39
4|0|testing,0.553151906672977,0.8777302306653602,0.9183580875396729,0.0,0.44
5|0|testing,0.01025729285216729,0.01873129476887491,0.0069037070497870445,0.0,0.17
6|0|testing,0.06571646129152559,0.029895706777130226,0.012805151753127575,0.0,0.19
7|0|testing,0.48728250876622287,0.3512272951380595,0.25399842858314514,0.0,0.5
8|0|testing,0.1990426864849713,0.0044885707251121855,0.06610692292451859,0.0,0.4
9|0|testing,0.14664808396149945,0.02355958031575949,0.18437884747982025,0.0,0.25
10|0|testing,0.5272670089748708,0.17721470032832087,0.322228342294693,0.0,0.41
11|0|testing,0.1383736855648245,0.004553808239784121,0.03589930757880211,0.0,0.12
12|0|testing,0.058972486417815675,0.07048161668426373,0.08806148171424866,1.0,0.34
13|0|testing,0.021197341734985158,0.0024212806378228215,0.04172979295253754,0.0,0.23
14|0|testing,0.33322241570739286,0.051782768939101005,0.2755567729473114,0.0,0.36
15|0|testing,0.9853505120918962,0.989154186804751,0.9991599321365356,1.0,0.81
16|0|testing,0.06382489416161298,0.2792433939851742,0.01877952367067337,0.0,0.18
17|0|testing,0.3900296227621801,0.9136770169063517,0.9626938700675964,1.0,0.42
18|0|testing,0.04004366982841666,0.01046722237586889,0.02379973605275154,0.0,0.2
19|0|testing,0.2296771165027392,0.11813245819882025,0.23350346088409424,0.0,0.32
20|0|testing,0.19586491237554993,0.10255207373687707,0.07225385308265686,0.0,0.42
21|0|testing,0.12724091985419397,0.08892106389230528,0.03305217623710632,0.0,0.36
22|0|testing,0.025299941531355945,0.003039304729139997,0.006118238903582096,0.0,0.07
23|0|testing,0.0297182666095689,0.0010732741134816843,0.00039186057983897626,0.0,0.12
