,rbfsvm,lightgbm,xgboost,dt,et
seq_3458,0.008639701080659673,1.9476770609566855e-05,8.885618444764987e-05,0.006128702757916241,0.004664058172561314
seq_1822,0.003283130584829707,3.0203965977176688e-05,0.00013490488345269114,0.02599388379204893,0.07969304650997133
seq_254,0.11547189520615274,0.011775743259248123,0.011828995309770107,1.0,0.40495001671028175
seq_1347,0.0024163473975844607,0.00011018953852250778,0.0001312486274400726,0.006993006993006993,0.08919148249683727
seq_613,0.015497899933921009,0.00010500043929042125,0.00022567204723600298,0.006128702757916241,0.018134281999340102
seq_2445,0.0011595139666559335,2.0774858295874567e-05,1.797105505829677e-05,0.13953488372093023,0.005213604980832871
seq_1791,0.006598784673153255,0.0009228160538131457,0.0009727640426717699,0.006128702757916241,0.007889192953691943
seq_1767,0.008736641996257722,0.0010959605970035072,0.0013571118470281363,0.006128702757916241,0.007889192953691943
seq_2296,0.0041713624828070275,0.00032932003686104094,0.000181144816451706,0.006128702757916241,0.13960373564374015
seq_2205,0.09815779649173512,0.0005515146251012255,0.0007803749176673591,0.02599388379204893,0.11548055082739823
seq_308,0.25054441242057135,0.016714474718189234,0.04005037620663643,0.42857142857142855,0.2594093826357871
seq_1737,0.0007255345886337341,3.244646031976575e-05,0.00011624422040767968,0.006128702757916241,0.0
seq_931,0.45177440677945224,0.2984820568379575,0.5648061037063599,1.0,0.49443491636996667
seq_2630,0.10753910789014372,0.0009940435980084971,0.003604972967877984,0.02599388379204893,0.31043953939810437
seq_349,0.053963625722345226,0.00040766806805472036,0.00425688037648797,0.006128702757916241,0.13019926547398294
seq_1183,0.0017848999768617245,0.0004322962281704535,0.0008199524017982185,0.13953488372093023,0.041893114467142625
seq_231,0.0020730756061572374,5.156762368372601e-05,5.573834278038703e-05,0.006128702757916241,0.0030585129994881947
seq_511,0.0009343211592501766,3.502315579157921e-05,0.00010798002767842263,0.006128702757916241,0.0
seq_210,0.02057276879373459,0.0002757505028929512,0.0002260605397168547,0.02599388379204893,0.0749801054614792
seq_1715,0.03915569093796253,0.002274238238490998,0.010656083934009075,0.0,0.24928445402561034
seq_2505,0.0056768841675105776,3.416794471280226e-05,5.943198993918486e-05,0.02599388379204893,0.03605299449785206
seq_965,0.003541635209939816,7.104869866070286e-05,0.0002202501054853201,0.006128702757916241,0.027298426312562466
seq_3560,0.00951829441157286,0.00010646520401396809,0.0012341317487880588,0.006128702757916241,0.04801155946229719
seq_3102,0.0033668989777030124,1.5726387097210543e-05,0.0001847336534410715,0.006128702757916241,0.002261952859787852
seq_1466,0.013449598417745323,0.0004938962421912589,0.0003721658722497523,0.13953488372093023,0.0524675845247643
seq_3159,0.014833125048126417,8.285216795313833e-05,0.001307751634158194,0.006128702757916241,0.06144151725049931
seq_3325,0.10155018072505455,0.054657516996022594,0.036588218063116074,0.8,0.22145794685247658
seq_2964,0.004278567800149677,0.000147668124391772,0.00023717759177088737,0.006128702757916241,0.021615531924191824
seq_1186,0.006332445501203373,0.001141135751292707,0.011231161653995514,0.006128702757916241,0.1376862422542462
seq_2999,0.011823270072265519,0.00046746284168835544,0.0004021046042907983,0.006128702757916241,0.04114083006203211
seq_2450,0.004405840726487131,2.5271050482273566e-05,0.0006228938582353294,0.006128702757916241,0.05170751971109933
seq_2765,0.31799884726595534,0.013224379116307803,0.25000235438346863,0.006128702757916241,0.1858046143816133
seq_2340,0.02609203726256664,0.0012220628741158462,0.0013037675525993109,0.02599388379204893,0.108842348903948
seq_1911,0.028105388316120868,2.3263672938533314e-05,0.0003574770234990865,0.02599388379204893,0.04239426532823031
seq_1550,0.09378360431891174,0.00037294941799931753,0.011758715845644474,0.02599388379204893,0.19420406551470326
seq_949,0.21500742703976833,0.10633197388948362,0.019177649170160294,0.0,0.4792743202341751
seq_882,0.01761082058731044,0.00010379199604570414,0.0010779394069686532,0.02599388379204893,0.138379784986121
seq_7,0.06692995541809578,0.000248700250705634,0.0007651905762031674,0.006128702757916241,0.17662786559043267
seq_1752,0.07671789253561806,0.03220051921041133,0.015935534611344337,0.02599388379204893,0.3739814154844757
seq_2023,0.0024035195959980576,0.0003138159651601975,0.00254504824988544,0.13953488372093023,0.051826965908791586
seq_1161,0.14827746567132055,0.0004028515534655698,0.0019307266920804977,0.006128702757916241,0.1972009762855096
seq_2968,0.04508030727212439,9.03473523078728e-05,0.0002182195894420147,0.02599388379204893,0.12396169154481224
seq_1206,0.6271573281166556,0.22605004033504306,0.7054317593574524,0.006128702757916241,0.4173306038209138
seq_2585,0.9434754751112934,0.12604459302939883,0.03763319179415703,1.0,0.5898020821124771
seq_3478,0.02017432334120471,0.004550457417939125,0.008451391011476517,0.02599388379204893,0.22712075035343074
seq_2371,0.01065610825114665,0.0005461539166457239,0.001524107065051794,0.006128702757916241,0.117990683776485
seq_1784,0.010273939936141964,2.9317848453008474e-05,0.0012727348366752267,0.02599388379204893,0.0713293055224475
seq_1393,0.0769226720085874,0.0018974587764507267,0.007685814052820206,0.008695652173913044,0.10574808406268645
seq_394,0.39931089698284566,0.019059843779550525,0.007147805765271187,0.02599388379204893,0.22262053236557977
seq_1129,0.13777080986020485,0.00032711245188882736,0.0006429014611057937,0.008695652173913044,0.30883729451421177
seq_2417,0.0032629864536613345,0.0004975648421481928,0.0007930283318273723,0.008695652173913044,0.14343487364853916
seq_739,0.028743865727806493,0.0008183633516361117,0.004603736102581024,0.006128702757916241,0.15653388993868028
seq_2767,0.005849359190520512,9.075898042260482e-05,0.0003120203036814928,0.006128702757916241,0.07365077571336644
seq_1956,0.0019008396342207053,3.670610676975807e-05,1.9675666408147663e-05,0.006128702757916241,0.04238365863280031
seq_744,0.06046724959342251,0.008989310808964299,0.005788239650428295,0.02599388379204893,0.2082587240561755
seq_3204,0.004070362927832452,4.090127665694393e-05,0.0001863740908447653,0.006128702757916241,0.0
seq_1310,0.0020273936755367743,0.00011134018003239779,0.0007491704891435802,0.006128702757916241,0.07350984474324307
seq_2628,0.00565657186438755,0.0012870520545864032,0.007837335579097271,0.008695652173913044,0.13486548145194838
seq_352,0.008236695078031282,0.0003180059218106873,0.00029560798429884017,0.006128702757916241,0.10778824591731508
seq_2536,0.00348360999364701,9.879214890876864e-05,0.0010837973095476627,0.006128702757916241,0.08022985133682214
seq_434,0.0011601387227466536,1.314561456693088e-05,0.0001697360712569207,0.006128702757916241,0.0
seq_1716,0.0036761251295139093,8.989821182055311e-05,0.00019812904065474868,0.13953488372093023,0.015728549093048095
seq_3403,0.02194333708454855,0.0031159825855109646,0.0069814324378967285,0.006128702757916241,0.2271315588116075
seq_1741,0.0020733293400571344,3.965635988231017e-05,0.00038060807855799794,0.006128702757916241,0.004841345025349778
seq_2283,0.0007969570033012953,2.6379174349609043e-05,1.9845230781356804e-05,0.006128702757916241,0.03437918481743499
seq_1406,0.007100978346522893,0.00012778883097139056,0.0006289976881816983,0.006128702757916241,0.01836848924207203
seq_2043,0.011291957052620212,0.00017155465390331494,0.00036864393041469157,0.008695652173913044,0.10811757102216234
seq_799,0.0037361536060433074,4.2250818317917745e-05,0.0034151312429457903,0.006128702757916241,0.04104066879096323
