DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
5.54,6.93,0.00,0.00,0.00,0.00,0.00,7.08,0.00,8.93,4.25,0.00,0.00,0.00,10.36,3.85,0.00,0.00,0.00,12.07,
0.00,8.67,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.67,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.24,
0.00,0.00,5.42,0.00,0.00,0.00,3.45,8.42,0.00,10.08,0.00,5.42,8.42,0.00,10.08,4.00,6.18,0.00,0.00,0.00,
5.56,0.00,0.00,3.33,0.00,4.50,0.00,0.00,0.00,0.00,8.10,5.30,0.00,0.00,0.00,0.00,4.22,0.00,4.10,0.00,
2.86,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.14,0.00,0.00,2.83,2.57,3.71,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,8.10,0.00,5.30,5.56,0.00,8.10,0.00,4.50,6.50,0.00,3.78,4.10,0.00,0.00,0.00,0.00,0.00,
0.00,2.62,0.00,2.38,6.12,0.00,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,
6.92,6.15,0.00,0.00,11.08,7.08,0.00,0.00,4.75,5.54,0.00,0.00,0.00,0.00,6.15,4.25,0.00,0.00,6.92,9.38,
16.25,7.17,0.00,0.00,0.00,0.00,0.00,13.25,18.05,13.25,9.05,3.69,0.00,7.89,11.05,0.00,10.25,9.47,11.05,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.57,0.00,0.00,0.00,0.00,0.00,0.00,2.86,2.83,0.00,2.83,3.71,0.00,
25.69,7.66,0.00,18.14,7.03,28.69,0.00,7.97,0.00,0.00,20.14,10.13,19.36,0.00,0.00,10.15,17.14,0.00,11.09,0.00,
0.00,10.08,0.00,0.00,0.00,2.90,0.00,7.08,0.00,0.00,8.42,7.08,10.08,4.73,6.00,0.00,0.00,0.00,0.00,0.00,
7.37,9.81,0.00,0.00,20.05,8.48,0.00,0.00,0.00,0.00,4.59,7.47,16.59,0.00,18.23,0.00,0.00,0.00,0.00,10.05,
9.58,12.12,15.03,13.44,0.00,30.36,15.37,22.03,20.14,21.66,10.38,28.69,0.00,0.00,16.79,14.97,27.14,0.00,12.91,0.00,
10.21,2.67,0.00,16.25,0.00,0.00,0.00,0.00,9.65,0.00,2.67,7.37,0.00,0.00,0.00,10.25,0.00,0.00,0.00,14.65,
